raw_comp_writers_text,CLEAN_TEXT,normalized_text
DJ Intan Novela/Copyright Control,,DJ Intan Novela
Skully Wit Da k & Pdg Jugg,Skully Wit Da k/Pdg Jugg,Skully Wit Da k/Pdg Jugg
Michael Scholz & Detlef Wiedeke,Michael Scholz/Detlef Wiedeke,Michael Scholz/Detlef Wiedeke
HOLLAND NICK,HOLLAND NICK,HOLLAND NICK
Sebastian Levermann & Niels Löffler,Sebastian Levermann/Niels Löffler,Sebastian Levermann/Niels Löffler
Son Jichang/Lee Taeseop/Kim Seongmyeon,Son Jichang/Lee Taeseop/Kim Seongmyeon,Son Jichang/Lee Taeseop/Kim Seongmyeon
Matthías Jochumsson/Sveinbjörn Sveinbjörnsson,Matthías Jochumsson/Sveinbjörn Sveinbjörnsson,Matthías Jochumsson/Sveinbjörn Sveinbjörnsson
Daniel Gutierrez/Jacobo Vélez Mesa/Juan Carlos Arrechea,Daniel Gutierrez/Jacobo Vélez Mesa/Juan Carlos Arrechea,Daniel Gutierrez/Jacobo Vélez Mesa/Juan Carlos Arrechea
Gerry & Michael Thompson,Gerry/Michael Thompson,Gerry/Michael Thompson
Christian Marsac/Addie Brik,Christian Marsac/Addie Brik,Christian Marsac/Addie Brik
Morgan Heritage,Morgan Heritage,Morgan Heritage
Nawaraj Lamsal/Surendra Man Singh,Nawaraj Lamsal/Surendra Man Singh,Nawaraj Lamsal/Surendra Man Singh
Bauhaus,Bauhaus,Bauhaus
Irving Batalla Batalla,Irving Batalla Batalla,Irving Batalla Batalla
Surinder Sehaj/Dinesh Deepak,Surinder Sehaj/Dinesh Deepak,Surinder Sehaj/Dinesh Deepak
BART BUTLER/JON PARDI/LUKE LAIRD/RHETT AKINS,BART BUTLER/JON PARDI/LUKE LAIRD/RHETT AKINS,BART BUTLER/JON PARDI/LUKE LAIRD/RHETT AKINS
Georgiana Lobont,Georgiana Lobont,Georgiana Lobont
Martín Rodriguez,Martín Rodriguez,Martín Rodriguez
BEGGINS ALEXANDER JAMES/WILSON KELSEY ERIN,BEGGINS ALEXANDER JAMES/WILSON KELSEY ERIN,BEGGINS ALEXANDER JAMES/WILSON KELSEY ERIN
"Smatt Sertified, Aaron Melloul & Alexander Parsegov",Smatt Sertified/Aaron Melloul/Alexander Parsegov,Smatt Sertified/Aaron Melloul/Alexander Parsegov
Sébastien Gourseyrol,Sébastien Gourseyrol,Sébastien Gourseyrol
Albert React,Albert React,Albert React
Byron Stingily/Marshall Jefferson/Eric Welton,Byron Stingily/Marshall Jefferson/Eric Welton,Byron Stingily/Marshall Jefferson/Eric Welton
Dominik Przybyłek,Dominik Przybyłek,Dominik Przybyłek
leegof,leegof,leegof
Josh Homme,Josh Homme,Josh Homme
前田克樹/藤林聖子,,
"Sir Edward Elgar, Franz Joseph Haydn & DMK (DAE-MYUNG KANG)",Sir Edward Elgar/Franz Joseph Haydn/DMK (DAE-MYUNG KANG),Sir Edward Elgar/Franz Joseph Haydn/DMK
Nguyễn Duy An,,Nguyễn Duy An
CA GRANBERG MARCUS VILHELM/CA NYBERG TOMAS/PA ARNE ALLIGATOR & DJUNGELTRUMMA,GRANBERG/MARCUS/VILHELM/NYBERG/TOMAS/PA/ARNE/ALLIGATOR/&/DJUNGELTRUMMA,CA GRANBERG MARCUS VILHELM/CA NYBERG TOMAS/PA ARNE ALLIGATOR/DJUNGELTRUMMA
"<Unknown>/Ault, Daniel",Ault/Daniel,Ault/Daniel
Markus Mustonen/Joakim Berg/Sami Sirviö/Harri Mänty/Martin Sköld,Markus Mustonen/Joakim Berg/Sami Sirviö/Harri Mänty/Martin Sköld,Markus Mustonen/Joakim Berg/Sami Sirviö/Harri Mänty/Martin Sköld
Felipe Lima/Gustavo Carvalho/Caelu,Felipe Lima/Gustavo Carvalho/Caelu,Felipe Lima/Gustavo Carvalho/Caelu
"ScrumbleMan,BabyTron",ScrumbleMan/BabyTron,ScrumbleMan/BabyTron
Connor Donovan/Vasant Sundaresan,Connor Donovan/Vasant Sundaresan,Connor Donovan/Vasant Sundaresan
أحمد خضر/Copyright Control,,
Jaleen Mathis,Jaleen Mathis,Jaleen Mathis
RdRay,,RdRay
Charlie Starr,Charlie Starr,Charlie Starr
Pepe Castillo,Pepe Castillo,Pepe Castillo
Hale Reeves,Hale Reeves,Hale Reeves
DIR EN GREY/京,DIR EN GREY,DIR EN GREY
Ian Gillan/Ritchie Blackmore/Roger Glover,Ian Gillan/Ritchie Blackmore/Roger Glover,Ian Gillan/Ritchie Blackmore/Roger Glover
John Dirne/Gyo Kretz/Catalina Schweighauser/Tom Dekkers,John Dirne/Gyo Kretz/Catalina Schweighauser/Tom Dekkers,John Dirne/Gyo Kretz/Catalina Schweighauser/Tom Dekkers
Simon Phoumsavan,,Simon Phoumsavan
Ткач О./Taisia Povaliy/Будейчук В.П.,,Taisia Povaliy
John Farrar,John Farrar,John Farrar
Manuela Various/Thomas De Quincey,Manuela Various/Thomas De Quincey,Manuela Various/Thomas De Quincey
Juan Bautista Leonardo,Juan Bautista Leonardo,Juan Bautista Leonardo
"D’Banj,Wande Coal",D’Banj/Wande Coal,D’Banj/Wande Coal
"<Unknown>/Blac, Scoota",Blac/Scoota,Blac/Scoota
Greg Phillips/Jesse Robinson/Kishaun Bailey,Greg Phillips/Jesse Robinson/Kishaun Bailey,Greg Phillips/Jesse Robinson/Kishaun Bailey
"Chris Martin,Guy Berryman,Jonny Buckland,Will Champion,Seum Dero,Marin Hoxha",Chris Martin/Guy Berryman/Jonny Buckland/Will Champion/Seum Dero/Marin Hoxha,Chris Martin/Guy Berryman/Jonny Buckland/Will Champion/Seum Dero/Marin Hoxha
Pete Townshend,,Pete Townshend
DJ YASBI RIMEX/Copyright Control,,DJ YASBI RIMEX
Marc VanDeKeere,Marc VanDeKeere,Marc VanDeKeere
Appu & Traditional,Appu/Traditional,Appu
Nam Je Hoon/Kim Yoon Myung/JUNIK,Nam Je Hoon/Kim Yoon Myung/JUNIK,Nam Je Hoon/Kim Yoon Myung/JUNIK
Swede/Lee Hunter/Marvin Flowberg/Ulterium Records/Mike Cameron Force,Swede/Lee Hunter/Marvin Flowberg/Ulterium Records/Mike Cameron Force,Swede/Lee Hunter/Marvin Flowberg/Ulterium Records/Mike Cameron Force
D. Sardy/Andy Bews/Colin Doran/Andy Gilmour/Paul Townsend/Lawrence Hibbitt,Andy Bews/Colin Doran/Andy Gilmour/Paul Townsend/Lawrence Hibbitt,D. Sardy/Andy Bews/Colin Doran/Andy Gilmour/Paul Townsend/Lawrence Hibbitt
Stella Jang/Grizzly,Stella Jang/Grizzly,Stella Jang/Grizzly
Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau
Mad Solutions LLC / Songtrust/Paul Nonso Okoye t/as Rudeboy/Christopher Anthony Eko t/as Chrisstrings,Paul Nonso Okoye t/as Rudeboy/Christopher Anthony Eko t/as Chrisstrings,Mad Solutions LLC/Songtrust/Paul Nonso Okoye t/as Rudeboy/Christopher Anthony Eko t/as Chrisstrings
Joe Palmer,Joe Palmer,Joe Palmer
Joseph Kosma/Johnny Mercer/Jacques Prévert,Joseph Kosma/Johnny Mercer/Jacques Prévert,Joseph Kosma/Johnny Mercer/Jacques Prévert
Victor Hobbs & Alexander Couret,Victor Hobbs/Alexander Couret,Victor Hobbs/Alexander Couret
A SPRUDZS VALTERS/AR EIHVALDS UGIS/AR LACIS JANIS/AR SPRUDZS VALTERS/AR ZVIEDRIS ATIS/C SPRUDZS VALTERS/PA FLAME & THE ROLLTONES,,A SPRUDZS VALTERS/AR EIHVALDS UGIS/AR LACIS JANIS/AR SPRUDZS VALTERS/AR ZVIEDRIS ATIS/C SPRUDZS VALTERS/PA FLAME/THE ROLLTONES
Daryl Hall/Sara Allen/John Oates,Daryl Hall/Sara Allen/John Oates,Daryl Hall/Sara Allen/John Oates
Rubén Hidalgo,Rubén Hidalgo,Rubén Hidalgo
Giovanni Pacini,Giovanni Pacini,Giovanni Pacini
Randle whisler,Randle whisler,Randle whisler
DEREK MURPHY/MARCUS ALBALADEJO/MARIO ALFREDO COLLAZO/UNAFFILIATED WRITER #3,,DEREK MURPHY/MARCUS ALBALADEJO/MARIO ALFREDO COLLAZO/UNAFFILIATED WRITER #3
Dario Engels,Dario Engels,Dario Engels
Luigi Denza/田中星児,Luigi Denza,Luigi Denza
"<Unknown>/Robinson, Christopher CODY",Robinson/Christopher CODY,Robinson/Christopher CODY
"SMKEXCLSV,YNW Melly",SMKEXCLSV/YNW Melly,SMKEXCLSV/YNW Melly
Ennio Morricone,Ennio Morricone,Ennio Morricone
A GEORGE STEFAN/C SCHOENBERG ARNOLD/PA COPYRIGHT UNTIL END 2015,,A GEORGE STEFAN/C SCHOENBERG ARNOLD/PA COPYRIGHT UNTIL END 2015
Кирилл Игоревич Незборецкий,,
CA BURTON CATHY LOUISE/CA GERASIMOV KONSTANTIN/CA NITZAN RAZ/PA COSTA & CATHY BURTON,BURTON/THY/LOUISE/GERASIMOV/KONSTANTIN/NITZAN/RAZ/PA/COSTA/&/THY/BURTON,CA BURTON CATHY LOUISE/CA GERASIMOV KONSTANTIN/CA NITZAN RAZ/PA COSTA/CATHY BURTON
"<Unknown>/Harris, David/Qualls, David",Harris/David/Qualls/David,Harris/David/Qualls/David
BRYAN (NM)KONG/BRYCE (NM)ZIALCITA/ISA (NM)GARCIA/SARAH (NM)MARCO/SIOPAO (NM)CHUA,,BRYAN KONG/BRYCE ZIALCITA/ISA GARCIA/SARAH MARCO/SIOPAO CHUA
Chevyano/Marvelous Jay,Chevyano/Marvelous Jay,Chevyano/Marvelous Jay
Angel Yerai Ramirez Rodriguez,Angel Yerai Ramirez Rodriguez,Angel Yerai Ramirez Rodriguez
Patrik Jarlestam,Patrik Jarlestam,Patrik Jarlestam
SANCHEZ CUCO,SANCHEZ CUCO,SANCHEZ CUCO
Raju Punjabi/Vikas Gaana Bajana,Raju Punjabi/Vikas Gaana Bajana,Raju Punjabi/Vikas Gaana Bajana
Derek T. Triplett,Derek T. Triplett,Derek T. Triplett
Kingsley O.,Kingsley O.,Kingsley O.
Sion Thomas,Sion Thomas,Sion Thomas
Thomas Joseph Terry/Bryan L. Winchester/Courtland Urbano/Jason Emmanuel Petty,Thomas Joseph Terry/Bryan L. Winchester/Courtland Urbano/Jason Emmanuel Petty,Thomas Joseph Terry/Bryan L. Winchester/Courtland Urbano/Jason Emmanuel Petty
Slank,Slank,Slank
Adam Williams-Walters,Adam Williams-Walters,Adam Williams-Walters
Kameron Michael Fair,Kameron Michael Fair,Kameron Michael Fair
Simon Neale,Simon Neale,Simon Neale
Tyler Joseph,Tyler Joseph,Tyler Joseph
Arnold Schönberg/Hermann von Lingg,Arnold Schönberg/Hermann von Lingg,Arnold Schönberg/Hermann von Lingg
Ritchie Blackmore/Candice Night,Ritchie Blackmore/Candice Night,Ritchie Blackmore/Candice Night
Davydenko Dmitry/Zhelnov Sergey Vladimirovich/Egor Bashkov,,Davydenko Dmitry/Zhelnov Sergey Vladimirovich/Egor Bashkov
Angelo Luis S del Carmen,Angelo Luis S del Carmen,Angelo Luis S del Carmen
"Robert Villanueva,Austin Mahone",Robert Villanueva/Austin Mahone,Robert Villanueva/Austin Mahone
"PARTYNEXTDOOR,DJ Candlestick,OG Ron C",PARTYNEXTDOOR/DJ Candlestick/OG Ron C,PARTYNEXTDOOR/DJ Candlestick/OG Ron C
Samir Sadaoui,Samir Sadaoui,Samir Sadaoui
Begena,Begena,Begena
"Danny Berrios,Dylan Conrique,Sarah Emily Berrios",Danny Berrios/Dylan Conrique/Sarah Emily Berrios,Danny Berrios/Dylan Conrique/Sarah Emily Berrios
Andrey Babaev & İslam Seferli,Andrey Babaev/ İslam Seferli,Andrey Babaev/İslam Seferli
강우경/박현암,,
John Jenkins,John Jenkins,John Jenkins
Harvey Christo/Steven Wirawan/Juan Mandagie,Harvey Christo/Steven Wirawan/Juan Mandagie,Harvey Christo/Steven Wirawan/Juan Mandagie
Sinne Eeg,Sinne Eeg,Sinne Eeg
Nicola Francesco Haym/George Frideric Handel,Nicola Francesco Haym/George Frideric Handel,Nicola Francesco Haym/George Frideric Handel
TENAGLIA DANIEL,TENAGLIA DANIEL,TENAGLIA DANIEL
Bjørn Torske/Ole Mjøs/Rune Lindbæk,Bjørn Torske/Ole Mjøs/Rune Lindbæk,Bjørn Torske/Ole Mjøs/Rune Lindbæk
Stanislaw Soyka/William Shakespeare,Stanislaw Soyka/William Shakespeare,Stanislaw Soyka/William Shakespeare
Gurmeet Singh & Happy Raikoti,Gurmeet Singh/Happy Raikoti,Gurmeet Singh/Happy Raikoti
Rados&#322;aw Merta,Rados&#322;aw Merta,Rados/#322;aw Merta
Hustinder,Hustinder,Hustinder
Bo Peep,Bo Peep,Bo Peep
Mani Bhawanigarh,Mani Bhawanigarh,Mani Bhawanigarh
Surapun Chanwichananun,Surapun Chanwichananun,Surapun Chanwichananun
卯花ロク (Ukaroku),Ukaroku,
Ian Vanek,Ian Vanek,Ian Vanek
Philip Strand/Yaroslav Polikarpov/Victoria Alkin/Aino Jawo/Caroline Hjelt/Emelie Eriksson/Louice Leveau,Philip Strand/Yaroslav Polikarpov/Victoria Alkin/Aino Jawo/Caroline Hjelt/Emelie Eriksson/Louice Leveau,Philip Strand/Yaroslav Polikarpov/Victoria Alkin/Aino Jawo/Caroline Hjelt/Emelie Eriksson/Louice Leveau
"Filipe Ret,MC Cabelinho,MC Maneirinho,Ian Girão",Filipe Ret/MC Cabelinho/MC Maneirinho/Ian Girão,Filipe Ret/MC Cabelinho/MC Maneirinho/Ian Girão
Nimesh S. Patel,Nimesh S. Patel,Nimesh S. Patel
"Javiielo,Anubiis,Nekxum",Javiielo/Anubiis/Nekxum,Javiielo/Anubiis/Nekxum
Jean-Paul Genré,Jean-Paul Genré,Jean-Paul Genré
Chico Amaral/Samuel Rosa,Chico Amaral/Samuel Rosa,Chico Amaral/Samuel Rosa
William Lincoln Knauer/Jonathan Hase James/Philip Abram Dickey,William Lincoln Knauer/Jonathan Hase James/Philip Abram Dickey,William Lincoln Knauer/Jonathan Hase James/Philip Abram Dickey
"Aloy,Josias (NLD),Young T (Producer),24Heavy,YTB Trench,Future,Young Thug,Unfoonk",Aloy/Josias (NLD)/Young T (Producer)/24Heavy/YTB Trench/Future/Young Thug/Unfoonk,Aloy/Josias/Young T/24Heavy/YTB Trench/Future/Young Thug/Unfoonk
KiSondrea Bradford,KiSondrea Bradford,KiSondrea Bradford
Max Raabe/Achim Hagemann/Johannes Ernst,Max Raabe/Achim Hagemann/Johannes Ernst,Max Raabe/Achim Hagemann/Johannes Ernst
David Clewett/Savan Kotecha/Ivar Lisinski,David Clewett/Savan Kotecha/Ivar Lisinski,David Clewett/Savan Kotecha/Ivar Lisinski
Stephan Haeri/Charles Dumont/Télépopmusik/Angela McCluskey/Christophe Hetier,Stephan Haeri/Charles Dumont/Télépopmusik/Angela McCluskey/Christophe Hetier,Stephan Haeri/Charles Dumont/Télépopmusik/Angela McCluskey/Christophe Hetier
Adjustor BG18,Adjustor BG18,Adjustor BG18
Jon Maguire/Corey Sanders/Calum Scott,Jon Maguire/Corey Sanders/Calum Scott,Jon Maguire/Corey Sanders/Calum Scott
Squirt Kelly,Squirt Kelly,Squirt Kelly
Desmond Drummond,Desmond Drummond,Desmond Drummond
CA CLAESSEN BART J H/PA COPYRIGHT CONTROL,CLAESSEN BART J H,CA CLAESSEN BART J H/PA COPYRIGHT CONTROL
Disharmonic Orchestra,Disharmonic Orchestra,Disharmonic Orchestra
樫田レオ/PMMK,PMMK,PMMK
梶浦由記,,
E. Harris,E. Harris,E. Harris
"AViVA,Jacob Skinkle",AViVA/Jacob Skinkle,AViVA/Jacob Skinkle
"Karanvir Singh, Simar Panag & Kulvir Singh Hans",Karanvir Singh/Simar Panag/Kulvir Singh Hans,Karanvir Singh/Simar Panag/Kulvir Singh Hans
"<Unknown>/Livingston, Damion Dwayne",Livingston/Damion Dwayne,Livingston/Damion Dwayne
Bryan Merasty,Bryan Merasty,Bryan Merasty
巫啟賢,,
Andy Quin,Andy Quin,Andy Quin
Felix Mendelssohn-Bartholdy,Felix Mendelssohn-Bartholdy,Felix Mendelssohn-Bartholdy
Lee SooHyun,Lee SooHyun,Lee SooHyun
Cruz de Jesús/Copyright Control,Cruz de Jesús,Cruz de Jesús
Anthony McGhee,,Anthony McGhee
Synthwave Goose,Synthwave Goose,Synthwave Goose
"Sdot Go,Jay Hound",Sdot Go/Jay Hound,Sdot Go/Jay Hound
Ezequiel Espino/Paul Gam,Ezequiel Espino/Paul Gam,Ezequiel Espino/Paul Gam
Ngân Giang/Anh Bằng,Ngân Giang/Anh Bằng,Ngân Giang/Anh Bằng
Ngô Thụy Miên,,Ngô Thụy Miên
Kenneth Manns,Kenneth Manns,Kenneth Manns
Javier Varela,Javier Varela,Javier Varela
六ツ見純代/菊田大介,,
William P. MacKay & John J. Husband,William P. MacKay/John J. Husband,William P. MacKay/John J. Husband
Natalia Germanou,Natalia Germanou,Natalia Germanou
Anne‐Marie/Nat Dunn/Marshmello,Anne‐Marie/Nat Dunn/Marshmello,Anne‐Marie/Nat Dunn/Marshmello
Majzoub Tabrizi,Majzoub Tabrizi,Majzoub Tabrizi
Dotan Harpenau/Neil Ormandy/Martin Wave,Dotan Harpenau/Neil Ormandy/Martin Wave,Dotan Harpenau/Neil Ormandy/Martin Wave
Andrew Lloyd Webber/Tim Rice,Andrew Lloyd Webber/Tim Rice,Andrew Lloyd Webber/Tim Rice
Shinpei Nakayama/Ujyo Noguchi,Shinpei Nakayama/Ujyo Noguchi,Shinpei Nakayama/Ujyo Noguchi
Noreiga Jonathan,Noreiga Jonathan,Noreiga Jonathan
"<Unknown>/Jimenez, Andrea",Jimenez/Andrea,Jimenez/Andrea
Mark Hockings/Richard Silverthorn/Neil Taylor,Mark Hockings/Richard Silverthorn/Neil Taylor,Mark Hockings/Richard Silverthorn/Neil Taylor
Derecho Del Autor Reservado & Rodolfo Olivares,,Derecho Del Autor Reservado/Rodolfo Olivares
Juan Gaytan,Juan Gaytan,Juan Gaytan
Ty Nitty/The Alchemist/Big Twins/G.O.D. Pt. III/Chinky,,Ty Nitty/The Alchemist/Big Twins/G.O.D. Pt. III/Chinky
Delete,,Delete
Werner Tautz,Werner Tautz,Werner Tautz
ICONIX,ICONIX,ICONIX
Toivo Kärki,Toivo Kärki,Toivo Kärki
"Josh Best, Patrick Blackie, Glenn Arseneau, Dave Mackenzie, Kellan Menhennett & Peter Arseneau",Josh Best/Patrick Blackie/Glenn Arseneau/Dave Mackenzie/Kellan Menhennett/Peter Arseneau,Josh Best/Patrick Blackie/Glenn Arseneau/Dave Mackenzie/Kellan Menhennett/Peter Arseneau
A LEUNG BENJAMIN/C BERMUDEZ JENNIFER RENE/PA RENE SOMNA & JENNIFER,A/LEUNG/BENJAMIN/C/BERMUDEZ/JENNIFER/RENE/RENE/SOMNA/&/JENNIFER,A LEUNG BENJAMIN/C BERMUDEZ JENNIFER RENE/PA RENE SOMNA/JENNIFER
Steven Jackson & Ceasare Willis,Steven Jackson/Ceasare Willis,Steven Jackson/Ceasare Willis
Greta Carroll/Mikhail Makarenko/Kaja Chomiczuk/Andrew Christopher Hillock,Greta Carroll/Mikhail Makarenko/Kaja Chomiczuk/Andrew Christopher Hillock,Greta Carroll/Mikhail Makarenko/Kaja Chomiczuk/Andrew Christopher Hillock
小蟲,,
Michael David/Tyler Blake,Michael David/Tyler Blake,Michael David/Tyler Blake
SatKirin & Thomas,SatKirin & Thomas,SatKirin/Thomas
CA BRUCE JOSH DWIGHT/CA ELIZA PAIGE/CA HAYWARD CRAIG IAN/PA BRU-C FEAT. PAIGE ELIZA & SHAPES,BRUCE/JOSH/DWIGHT/ELIZA/PAIGE/HAYWARD/CRAIG/IAN/PA/BRU-C/FEAT./PAIGE/ELIZA/&/SHAPES,CA BRUCE JOSH DWIGHT/CA ELIZA PAIGE/CA HAYWARD CRAIG IAN/PA BRU-C FEAT. PAIGE ELIZA/SHAPES
"<Unknown>/Barett, Mahmoud",Barett/Mahmoud,Barett/Mahmoud
Camille Saint‐Saëns,,Camille Saint‐Saëns
Hasan & Husan Holboevlar,Hasan & Husan Holboevlar,Hasan/Husan Holboevlar
Nguyễn Nhất Huy,Nguyễn Nhất Huy,Nguyễn Nhất Huy
Mario Marchetti/유영진/Sophie Curtis/Adam McInnis,Mario Marchetti/Sophie Curtis/Adam McInnis,Mario Marchetti/Sophie Curtis/Adam McInnis
Mozart,Mozart,Mozart
Raymond Watts,Raymond Watts,Raymond Watts
Torbjörn Wassenius/Jonas Liberg/Johan Sahlén/Claes Andreasson/Britt Viberg/Vibeke Dueholm,Torbjörn Wassenius/Jonas Liberg/Johan Sahlén/Claes Andreasson/Britt Viberg/Vibeke Dueholm,Torbjörn Wassenius/Jonas Liberg/Johan Sahlén/Claes Andreasson/Britt Viberg/Vibeke Dueholm
datahead,datahead,datahead
Orlando di Lasso,Orlando di Lasso,Orlando di Lasso
Lil Raider,Lil Raider,Lil Raider
C.Bringtown,C.Bringtown,C.Bringtown
Gérard Manset,Gérard Manset,Gérard Manset
Jaisin Patel,Jaisin Patel,Jaisin Patel
Vincent Cannady/Tyler Harrison Mead/J. Hart,Vincent Cannady/Tyler Harrison Mead/J. Hart,Vincent Cannady/Tyler Harrison Mead/J. Hart
Sybersound/Finneas O'Connell/Billie Eilish O'Connell,,Sybersound/Finneas O'Connell/Billie Eilish O'Connell
Paul Epworth/J.A.C. Redford/Adele,Paul Epworth/J.A.C. Redford/Adele,Paul Epworth/J.A.C. Redford/Adele
Mauricio Carlakoski,Mauricio Carlakoski,Mauricio Carlakoski
Hoàng Hoa/Thảo Trang,,Hoàng Hoa/Thảo Trang
Kieran Connolly,Kieran Connolly,Kieran Connolly
DEFRA/Isaac Rojas/Pablo Benjamin Betancourth Franco,DEFRA/Isaac Rojas/Pablo Benjamin Betancourth Franco,DEFRA/Isaac Rojas/Pablo Benjamin Betancourth Franco
El Fara Ps,El Fara Ps,El Fara Ps
Christina Kostopoulos,Christina Kostopoulos,Christina Kostopoulos
ALFRED LLOYD CAMPBELL,ALFRED LLOYD CAMPBELL,ALFRED LLOYD CAMPBELL
Glenn Danzig,,Glenn Danzig
Kony/Pikers/Aetherboy1/Piotr Olbert/Marcin Kosiorek/Piotr Rutkowski/Rafał Ostrowski/Daniel Wójtowicz/Łukasz Bułat-Mironowicz,Kony/Pikers/Aetherboy1/Piotr Olbert/Marcin Kosiorek/Piotr Rutkowski/Rafał Ostrowski/Daniel Wójtowicz/Łukasz Bułat-Mironowicz,Kony/Pikers/Aetherboy1/Piotr Olbert/Marcin Kosiorek/Piotr Rutkowski/Rafał Ostrowski/Daniel Wójtowicz/Łukasz Bułat-Mironowicz
"<Unknown>/Antoine, Katoto Luhembe",Antoine/Katoto Luhembe,Antoine/Katoto Luhembe
Anibal Tejeda,Anibal Tejeda,Anibal Tejeda
devyn michael walker,devyn michael walker,devyn michael walker
Dubose Heyward/George Gershwin/Traditional/Ira Gershwin/N/A - See Medley Segments,Dubose Heyward/George Gershwin/Traditional/Ira Gershwin/A - See Medley Segments,Dubose Heyward/George Gershwin/Ira Gershwin/A - See Medley Segments
Roland Binder,Roland Binder,Roland Binder
Vileta Parra/Violeta Parra,Violeta Parra,Vileta Parra/Violeta Parra
Terpomo11/Nagi/AetherStar,Terpomo11/Nagi/AetherStar,Terpomo11/Nagi/AetherStar
X-Zone Music/Youth Friends Of Jesus & Deacon Vincent,Youth Friends Of Jesus/Deacon Vincent,X-Zone Music/Youth Friends Of Jesus/Deacon Vincent
John Reis,John Reis,John Reis
Capitán Chinaco,Capitán Chinaco,Capitán Chinaco
Wayne Henderson/A.L.S. & C. McCrary,Wayne Henderson/A.L.S/C. McCrary,Wayne Henderson/A.L.S./C. McCrary
David San Andrés Fernández/Diego Muñoz Fajardo,David San Andrés Fernández/Diego Muñoz Fajardo,David San Andrés Fernández/Diego Muñoz Fajardo
Giovanni Pierluigi da Palestrina,Giovanni Pierluigi da Palestrina,Giovanni Pierluigi da Palestrina
"<Unknown>/Lopez, Joel",Lopez/Joel,Lopez/Joel
Lonnie rainey,Lonnie rainey,Lonnie rainey
Rodrigo Vieira/Marcos Carnaval,Rodrigo Vieira/Marcos Carnaval,Rodrigo Vieira/Marcos Carnaval
Robert Hunter/Jerry Garcia,Robert Hunter/Jerry Garcia,Robert Hunter/Jerry Garcia
"Grant McDowall,Will Heggie,Stuart Everest,Craig Lorentson",Grant McDowall/Will Heggie/Stuart Everest/Craig Lorentson,Grant McDowall/Will Heggie/Stuart Everest/Craig Lorentson
Rodney Mashundure,Rodney Mashundure,Rodney Mashundure
Pizko MC,Pizko MC,Pizko MC
Yasunori Mitsuda,Yasunori Mitsuda,Yasunori Mitsuda
"Anne-Sophie Versnaeyen, Nicolas Bedos",Anne-Sophie Versnaeyen  Nicolas Bedos,Anne-Sophie Versnaeyen/Nicolas Bedos
Mark Kelly/Steve Hogarth/Ian Mosley/Pete Trewavas/Steve Rothery,Mark Kelly/Steve Hogarth/Ian Mosley/Pete Trewavas/Steve Rothery,Mark Kelly/Steve Hogarth/Ian Mosley/Pete Trewavas/Steve Rothery
Ernesto E. Perez/Humberto Eugene Diaz/Michael Alexis Castro/Monte Hess/William Dwight McKelvy,,Ernesto E. Perez/Humberto Eugene Diaz/Michael Alexis Castro/Monte Hess/William Dwight McKelvy
Huw Gower/Rod Goodway/Adrian Shaw,Huw Gower/Rod Goodway/Adrian Shaw,Huw Gower/Rod Goodway/Adrian Shaw
"Zelski, Hendelberg, Keane, Wright, Woolley, & Pridgen",Zelski/Hendelberg/Keane/Wright/Woolley/& Pridgen,Zelski/Hendelberg/Keane/Wright/Woolley/Pridgen
Antonio Tamarki Baldwin,Antonio Tamarki Baldwin,Antonio Tamarki Baldwin
伊藤和馬/森本練,,
Laurent Coulondre,Laurent Coulondre,Laurent Coulondre
Jay Winborn/Nifa Spraggins/Marc Pomeroy,Jay Winborn/Nifa Spraggins/Marc Pomeroy,Jay Winborn/Nifa Spraggins/Marc Pomeroy
土屋憲一,,土屋憲一
Tewodros Tadesse,,Tewodros Tadesse
Tommy Ill,Tommy Ill,Tommy Ill
Mark Reilly/Mark Fisher,Mark Reilly/Mark Fisher,Mark Reilly/Mark Fisher
Malola Kannan & J.Bhakthavatsalam,Malola Kannan/J.Bhakthavatsalam,Malola Kannan/J.Bhakthavatsalam
Romero Osby,Romero Osby,Romero Osby
Lilli Lewis,Lilli Lewis,Lilli Lewis
Alejandro “Kid Fresco” Jimenez/Maria Gracia Córdova/Javier “Noreh” Triviño/Giovanny Fernández/Gustavo “Mangus” Ovalles/Jorge Nehme,Alejandro “Kid Fresco” Jimenez/Maria Gracia Córdova/Javier “Noreh” Triviño/Giovanny Fernández/Gustavo “Mangus” Ovalles/Jorge Nehme,Alejandro “Kid Fresco” Jimenez/Maria Gracia Córdova/Javier “Noreh” Triviño/Giovanny Fernández/Gustavo “Mangus” Ovalles/Jorge Nehme
"Rob Knox,Brandyn Burnette,Molly Moore,Jesse McCartney",Rob Knox/Brandyn Burnette/Molly Moore/Jesse McCartney,Rob Knox/Brandyn Burnette/Molly Moore/Jesse McCartney
Yamil Rezc,Yamil Rezc,Yamil Rezc
Jaidev Kumar/Kumaar,,Jaidev Kumar/Kumaar
James Womack,James Womack,James Womack
EFFY/Shunryu,EFFY/Shunryu,EFFY/Shunryu
GLUCK  CHRISTOPH WILLIBALD/LEON  CRAIG,GLUCK  CHRISTOPH WILLIBALD/LEON  CRAIG,GLUCK  CHRISTOPH WILLIBALD/LEON  CRAIG
Adella/Catherine Steinberg,Adella/Catherine Steinberg,Adella/Catherine Steinberg
